Entity,Code,Year,Share of global mismanaged plastic waste
Timor,TLS,2019,0.027914792
Togo,TGO,2019,0.197143768
Tonga,TON,2019,0.001078129
Trinidad and Tobago,TTO,2019,0.118398283
Tunisia,TUN,2019,0.468707557
Turkey,TUR,2019,2.680930558
Ukraine,UKR,2019,0.637450889
United Arab Emirates,ARE,2019,0.008312599
United Kingdom,GBR,2019,0.048425139
United States,USA,2019,0.432981997
Uruguay,URY,2019,0.149934357
Venezuela,VEN,2019,1.086920486
Vietnam,VNM,2019,1.801397682
Western Sahara,ESH,2019,0.006659792
Yemen,YEM,2019,0.472267324
Zimbabwe,ZWE,2019,0.849657702
